"pitchno","date","time","paofinning","pitchofpa","pitcher","pitcherid","pitcherthrows","pitcherteam","batter","batterid","batterside","batterteam","pitcherset","inning","top/bottom","outs","balls","strikes","taggedpitchtype","autopitchtype","pitchcall","korbb","taggedhittype","playresult","outsonplay","runsscored","notes","relspeed","vertrelangle","horzrelangle","spinrate","spinaxis","tilt","relheight","relside","extension","vertbreak","inducedvertbreak","horzbreak","platelocheight","platelocside","zonespeed","vertapprangle","horzapprangle","zonetime","exitspeed","angle","direction","hitspinrate","positionat110x","positionat110y","positionat110z","distance","lasttrackeddistance","bearing","hangtime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","hometeam","awayteam","stadium","level","league","gameid","pitchuid","effectivevelo","maxheight","measuredduration","speeddrop","pitchlastmeasuredx","pitchlastmeasuredy","pitchlastmeasuredz","contactpositionx","contactpositiony","contactpositionz","gameuid","utcdate","utctime","localdatetime","utcdatetime","autohittype","system","hometeamforeignid","awayteamforeignid","gameforeignid","catcher","catcherid","catcherthrows","catcherteam","playid","pitchtrajectoryxc0","pitchtrajectoryxc1","pitchtrajectoryxc2","pitchtrajectoryyc0","pitchtrajectoryyc1","pitchtrajectoryyc2","pitchtrajectoryzc0","pitchtrajectoryzc1","pitchtrajectoryzc2","hitspinaxis","hittrajectoryxc0","hittrajectoryxc1","hittrajectoryxc2","hittrajectoryxc3","hittrajectoryxc4","hittrajectoryxc5","hittrajectoryxc6","hittrajectoryxc7","hittrajectoryxc8","hittrajectoryyc0","hittrajectoryyc1","hittrajectoryyc2","hittrajectoryyc3","hittrajectoryyc4","hittrajectoryyc5","hittrajectoryyc6","hittrajectoryyc7","hittrajectoryyc8","hittrajectoryzc0","hittrajectoryzc1","hittrajectoryzc2","hittrajectoryzc3","hittrajectoryzc4","hittrajectoryzc5","hittrajectoryzc6","hittrajectoryzc7","hittrajectoryzc8","throwspeed","poptime","exchangetime","timetobase","catchpositionx","catchpositiony","catchpositionz","throwpositionx","throwpositiony","throwpositionz","basepositionx","basepositiony","basepositionz","throwtrajectoryxc0","throwtrajectoryxc1","throwtrajectoryxc2","throwtrajectoryyc0","throwtrajectoryyc1","throwtrajectoryyc2","throwtrajectoryzc0","throwtrajectoryzc1","throwtrajectoryzc2","pitchreleaseconfidence","pitchlocationconfidence","pitchmovementconfidence","hitlaunchconfidence","hitlandingconfidence","catcherthrowcatchconfidence","catcherthrowreleaseconfidence","catcherthrowlocationconfidence","spinaxis3dtransverseangle","spinaxis3dlongitudinalangle","spinaxis3dactivespinrate","spinaxis3dspinefficiency","spinaxis3dtilt","spinaxis3dvectorx","spinaxis3dvectory","spinaxis3dvectorz","spinaxis3dseamorientationrotationx","spinaxis3dseamorientationrotationy","spinaxis3dseamorientationrotationz","spinaxis3dseamorientationballyamb1","spinaxis3dseamorientationballanglehorizontalamb1","spinaxis3dseamorientationballzamb1","spinaxis3dseamorientationballangleverticalamb2","spinaxis3dseamorientationballzamb2","spinaxis3dseamorientationballxamb4","spinaxis3dseamorientationballyamb4","spinaxis3dseamorientationballanglehorizontalamb2","spinaxis3dseamorientationballangleverticalamb1","spinaxis3dseamorientationballxamb1","spinaxis3dseamorientationballyamb2","spinaxis3dseamorientationballanglehorizontalamb4","spinaxis3dseamorientationballangleverticalamb4","spinaxis3dseamorientationballxamb2","spinaxis3dseamorientationballangleverticalamb3","spinaxis3dseamorientationballanglehorizontalamb3","spinaxis3dseamorientationballxamb3","spinaxis3dseamorientationballyamb3","spinaxis3dseamorientationballzamb3","spinaxis3dseamorientationballzamb4","batspeed","verticalattackangle","horizontalattackangle","year","month","day"
"131","2026-02-27","19:17:12.89","7","2","Puetz, Parker","1000213729","Right","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","4","Bottom","2","0","1","Cutter","Slider","BallCalled","Undefined","Undefined","Undefined","0","0","","84.23673","2.004516","-1.414848","2474.744484","117.943205","10:00","5.19362","1.84041","5.1431","-36.50549","3.79516","-4.93079","4.04021","0.09708","77.37682","-4.651513","-2.286678","0.456907",,,,,,,,,,,,"2.0837","1.73725","-1.70397","50.0","5.35328","3.23429","-122.23198","2.92048","3.17269","22.6434","-29.5289","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","369ab930-1443-11f1-8b2a-372dde908e8b","82.49484",,,"6.85991",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:17:12.89","2026-02-27T19:17:12.8912384-06:00","2026-02-28T01:17:12.8912384Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","998eaa9d-c064-4d1b-96a8-07fd4d954239","55.35619","-123.22021","11.3217","5.1977","4.20922","-14.76445","-1.8421","3.09583","1.58635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"132","2026-02-27","19:17:30.31","7","3","Puetz, Parker","1000213729","Right","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","4","Bottom","2","1","1","Cutter","Slider","BallCalled","Undefined","Undefined","Undefined","0","0","","84.25819","0.270214","-2.948563","2471.695907","115.788054","9:45","5.16573","1.91811","5.34147","-35.77159","4.52646","-6.75544","2.43859","-1.41332","77.17769","-6.269663","-4.14584","0.456892",,,,,,,,,,,,"2.54008","2.60736","-1.64714","50.0","5.16473","6.58324","-122.14099","-0.71581","3.83339","24.27592","-28.23908","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","40ef1250-1443-11f1-8b2a-372dde908e8b","82.49748",,,"7.08049",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:17:30.31","2026-02-27T19:17:30.3139840-06:00","2026-02-28T01:17:30.3139840Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","54c523f0-2824-4c4a-aa59-70395b13124a","55.15624","-123.16155","12.13796","5.16987","0.47135","-14.11954","-1.92051","6.42208","1.9167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"133","2026-02-27","19:17:48.12","7","4","Puetz, Parker","1000213729","Right","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","4","Bottom","2","2","1","Fastball","Four-Seam","StrikeSwinging","Undefined","Undefined","Undefined","0","0","","90.07519","-0.506097","-4.035393","2333.344625","222.46613","1:30","5.36685","1.72788","6.06006","-17.97883","16.46981","14.02855","3.39902","-0.84423","81.83524","-3.934602","-1.518349","0.422433",,,,,,,,,,,,"-8.31662","8.94229","-1.42119","50.0","5.31771","8.60506","-130.53153","-1.67348","-14.30119","28.32823","-16.79696","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","4b75c610-1443-11f1-8b2a-372dde908e8b","89.22709",,,"8.23995",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:17:48.12","2026-02-27T19:17:48.1210880-06:00","2026-02-28T01:17:48.1210880Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","975c9f35-0f49-439b-a53c-67d64425ec8d","54.43713","-131.49096","14.16411","5.36476","-1.10459","-8.39848","-1.72083","9.08942","-7.1506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"134","2026-02-27","19:18:09.53","7","5","Puetz, Parker","1000213729","Right","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","4","Bottom","2","2","2","Cutter","Slider","FoulBallNotFieldable","Undefined","Undefined","Undefined","0","0","","85.27389","0.785274","-1.756566","2483.433958","112.71404","9:45","5.20917","1.9063","5.32731","-35.0973","4.1854","-7.06693","3.02164","-0.33139","78.02347","-5.641785","-3.010693","0.451099","84.15685","52.597911","45.574118","5224.874223","61.42202","115.48141","91.25399","236.72303","97.33665","62.182587","5.58478","3.06669","2.22504","-1.7421","50.0","5.25487","4.09658","-123.74079","0.41984","4.74932","24.95894","-28.72819","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","5877b300-1443-11f1-8b2a-372dde908e8b","83.55688","120.70169",,"7.25042",,,,"0.55789","2.96137","0.33442","1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:18:09.53","2026-02-27T19:18:09.5307264-06:00","2026-02-28T01:18:09.5307264Z","FlyBall","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","9d613911-b43c-4eb8-bbde-c034fbc63dbc","55.17233","-124.77971","12.47947","5.21251","1.61565","-14.36409","-1.9085","3.89889","2.37466",,"0.56984","52.21757","-17.3284","3.29985","0.62149","-0.60395","0.16403","-0.02012","9.4E-4","2.94525","98.32004","-25.51146","3.54782","-1.10922","0.2759","-0.03727","0.00207","-2.0E-5","0.33101","53.59326","-5.9236","1.04988","-0.18781","0.03035","-0.00268","0.0","1.0E-5",,,,,,,,,,,,,,,,,,,,,,,"High","High","High","High","Low","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"135","2026-02-27","19:18:36.06","7","6","Puetz, Parker","1000213729","Right","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","4","Bottom","2","2","2","Fastball","Four-Seam","InPlay","Undefined","LineDrive","Triple","0","1","","91.12162","-0.177054","-3.411166","2253.696033","217.957217","1:15","5.33651","1.60876","5.94506","-17.84225","16.2919","11.74308","3.68513","-0.58045","81.91658","-3.594938","-1.306823","0.4205","88.8512","26.495185","28.614964","4537.988024","91.0994","46.71747","61.65041","308.02002","242.09075","41.573662","3.999286","-7.08288","8.74878","-1.34328","50.0","5.31246","7.34898","-131.9743","-0.93386","-12.30532","32.00091","-16.97451","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","68289350-1443-11f1-8b2a-372dde908e8b","89.63718","54.07999",,"9.20504",,,,"-0.11344","3.65938","0.55208","1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:18:36.06","2026-02-27T19:18:36.0670208-06:00","2026-02-28T01:18:36.0670208Z","LineDrive","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","8cd5b082-90d2-4cb8-8f18-2b99a9d4caf0","54.55105","-133.07326","16.00045","5.33452","-0.35094","-8.48726","-1.60292","7.77157","-6.15266",,"-0.11343","102.38584","-23.35363","6.09512","-1.51813","0.3927","-0.09852","0.0165","-0.00115","3.6602","58.1111","-18.2621","0.54149","0.48722","-0.30797","0.0995","-0.01578","9.6E-4","0.55232","55.85026","0.61656","-1.6662","0.68936","-0.1905","0.03562","-0.00354","1.2E-4",,,,,,,,,,,,,,,,,,,,,,,"High","High","High","High","Medium","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"136","2026-02-27","19:22:13.94","8","1","Shupe, Garrett","10013518","Right","NOR_BIS","Serna, Mateo","806219","Left","MIZ_TIG","Undefined","4","Bottom","2","0","0","Fastball","Four-Seam","FoulBallNotFieldable","Undefined","Undefined","Undefined","0","0","","88.81642","-1.250844","-3.59245","2268.787045","216.629117","1:15","5.37061","3.11511","6.30741","-20.1258","15.1043","10.32768","2.53869","0.66191","80.52482","-5.088007","-1.729167","0.427197","84.11465","60.44129","-63.290561","4868.819764",,,,,"70.59962",,,"-6.49217","8.59945","-2.85632","50.0","5.26907","7.67741","-128.7734","-3.38635","-10.80109","29.03833","-17.86705","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","e9e72500-1443-11f1-8b2a-372dde908e8b","88.23194","102.28378",,"8.29161",,,,"2.62023","2.64483","-0.69869","1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:22:13.94","2026-02-27T19:22:13.9401216-06:00","2026-02-28T01:22:13.9401216Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","b9244ecd-6ca3-4552-a1a2-6b079b76c17d","54.1914","-129.71511","14.51916","5.36949","-2.80692","-8.93353","-3.11098","8.02769","-5.40054",,"2.62024","27.35163","-11.36586","2.65247","0.76783","-1.75211","1.34158","-0.52928","0.08677","2.64483","107.31191","-28.06199","3.61136","-0.91851","0.38628","-0.20695","0.07478","-0.01194","-0.69869","-54.36606","4.40037","-0.76301","0.47217","-0.52403","0.37434","-0.14572","0.02384",,,,,,,,,,,,,,,,,,,,,,,"High","High","High","Medium","Undefined","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77.12614","16.79801","0.04129","2026","02","27"
"137","2026-02-27","19:22:41.63","8","2","Shupe, Garrett","10013518","Right","NOR_BIS","Serna, Mateo","806219","Left","MIZ_TIG","Undefined","4","Bottom","2","0","1","ChangeUp","Changeup","InPlay","Undefined","FlyBall","Out","1","0","","83.39571","0.271581","-3.650592","1586.719954","250.308699","2:15","5.05707","3.17118","6.48342","-32.86754","6.83981","15.29241","2.56797","1.08917","75.61984","-5.912948","-0.880659","0.453531","77.48098","27.720433","5.009317","1646.763622","109.61534","44.48966","9.18854","274.92546","268.13447","6.094777","3.756959","-9.14697","3.88906","-2.92084","50.0","5.06182","7.16075","-120.97703","-0.37331","-13.41368","25.90933","-26.47089","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","fa9502f0-1443-11f1-8b2a-372dde908e8b","83.10887","48.64866",,"7.77587",,,,"1.93791","2.64844","-1.09985","1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:22:41.63","2026-02-27T19:22:41.6381952-06:00","2026-02-28T01:22:41.6381952Z","LineDrive","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","a6787682-c64b-4584-8672-59ce5fef9af4","54.01584","-121.83406","12.95466","5.05969","0.50229","-13.23545","-3.16504","7.60445","-6.70684","184.900771","1.93757","100.22276","-14.35487","3.3713","-0.81324","0.23303","-0.06032","0.00956","-6.3E-4","2.64891","52.8453","-16.23373","0.57903","0.14157","-0.13576","0.04682","-0.00749","4.6E-4","-1.09982","8.78301","-0.62563","0.20255","-0.03619","0.00289","6.7E-4","-1.8E-4","1.0E-5",,,,,,,,,,,,,,,,,,,,,,,"High","High","High","High","High","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.10643","22.18819","12.37418","2026","02","27"
"153","2026-02-27","19:32:21.62","1","1","Shupe, Garrett","10013518","Right","NOR_BIS","Parker, Sam","806179","Left","MIZ_TIG","Undefined","5","Bottom","0","0","0","Fastball","Four-Seam","InPlay","Undefined","FlyBall","Double","0","0","","88.4159","-0.933235","-3.450699","2397.193132","219.205735","1:15","5.27385","2.98066","6.27921","-19.15584","16.44013","12.40446","2.8157","0.8299","80.04453","-4.601585","-1.213391","0.429409","100.63581","23.303748","0.591697","2409.320979","109.98642","45.7064","-1.69734","376.00204","376.00204","-2.296217","4.688131","-7.55028","9.20178","-2.73175","50.0","5.19556","7.24464","-128.21942","-2.62155","-12.4416","29.02509","-17.01102","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","54170610-1445-11f1-8b2a-372dde908e8b","87.77738","67.69935",,"8.37136",,,,"2.53244","2.89836","-0.84931","1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:32:21.62","2026-02-27T19:32:21.6211456-06:00","2026-02-28T01:32:21.6211456Z","FlyBall","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","10aaba7d-3d8b-4113-8f14-91ab9c0f1534","54.21996","-129.17117","14.51255","5.27238","-2.06375","-8.50551","-2.97599","7.6526","-6.2208","167.683013","2.53233","135.55067","-26.25388","6.09017","-1.26873","0.25731","-0.0456","0.00534","-2.8E-4","2.8995","58.36762","-13.14299","-0.37332","0.38116","-0.16813","0.04369","-0.00571","2.9E-4","-0.84897","1.39091","-3.3191","1.09666","-0.23898","0.04192","-0.00611","6.6E-4","-4.0E-5",,,,,,,,,,,,,,,,,,,,,,,"High","High","High","High","High","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"154","2026-02-27","19:33:09.86","2","1","Shupe, Garrett","10013518","Right","NOR_BIS","Ward, Blaize","1000263242","Left","MIZ_TIG","Undefined","5","Bottom","0","0","0","Fastball","Four-Seam","StrikeCalled","Undefined","Undefined","Undefined","0","0","","87.77099","-1.329223","-3.223603","2267.586414","217.914904","1:15","5.27129","3.12373","6.33797","-20.82296","14.83812","10.68528","2.31007","1.04306","80.3726","-5.275797","-1.293295","0.429802",,,,,,,,,,,,"-6.41689","8.42575","-2.89356","50.0","5.16438","6.75278","-127.40222","-3.54918","-10.56562","25.73493","-18.30078","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","70ee7250-1445-11f1-8b2a-372dde908e8b","87.69714",,,"7.39839",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:33:09.86","2026-02-27T19:33:09.8693632-06:00","2026-02-28T01:33:09.8693632Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","cb7468f2-453b-4e21-93ab-14ae7651c583","54.16039","-128.23985","12.86747","5.2702","-2.95352","-9.15039","-3.11895","7.09668","-5.28281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"155","2026-02-27","19:33:30.15","2","2","Shupe, Garrett","10013518","Right","NOR_BIS","Ward, Blaize","1000263242","Left","MIZ_TIG","Undefined","5","Bottom","0","0","1","Fastball","Four-Seam","BallCalled","Undefined","Undefined","Undefined","0","0","","88.60552","-1.104073","-2.539461","2140.089157","216.255145","1:15","5.21643","3.37184","6.02037","-21.42033","14.25308","9.56713","2.40763","1.8154","80.47834","-5.153493","-0.819879","0.429877",,,,,,,,,,,,"-5.64118","8.00993","-3.17783","50.0","5.11824","5.2956","-128.52009","-3.13075","-9.3726","28.28552","-18.86581","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","7d11bf10-1445-11f1-8b2a-372dde908e8b","87.68201",,,"8.12718",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:33:30.15","2026-02-27T19:33:30.1580288-06:00","2026-02-28T01:33:30.1580288Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","cc7b9665-25b3-4e85-93e5-99f66259ef0b","54.47633","-129.50152","14.14276","5.21551","-2.47616","-9.4329","-3.36721","5.6208","-4.6863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"156","2026-02-27","19:33:49.67","2","3","Shupe, Garrett","10013518","Right","NOR_BIS","Ward, Blaize","1000263242","Left","MIZ_TIG","Undefined","5","Bottom","0","1","1","ChangeUp","Changeup","BallCalled","Undefined","Undefined","Undefined","0","0","","84.73275","-1.761569","-4.879639","1704.572811","248.624659","2:15","4.99983","3.21421","6.6118","-31.47726","6.76563","14.0293","0.75688","-0.09689","77.38929","-7.6624","-2.336841","0.445089",,,,,,,,,,,,"-8.85532","4.44563","-2.88714","50.0","4.86662","9.97885","-122.75167","-4.68741","-13.43672","25.55196","-25.42844","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","8896d000-1445-11f1-8b2a-372dde908e8b","84.68521",,,"7.34346",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:33:49.67","2026-02-27T19:33:49.6795648-06:00","2026-02-28T01:33:49.6795648Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","bf904b12-e7c2-4558-8b0f-17229e4ad27d","53.88842","-123.55843","12.77598","5.00195","-3.88455","-12.71422","-3.2089","10.40309","-6.71836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"157","2026-02-27","19:34:12.79","2","4","Shupe, Garrett","10013518","Right","NOR_BIS","Ward, Blaize","1000263242","Left","MIZ_TIG","Undefined","5","Bottom","0","2","1","ChangeUp","Changeup","InPlay","Undefined","FlyBall","Out","1","0","","84.24278","0.027917","-4.590728","1674.742595","249.325954","2:15","5.0206","3.21396","6.54595","-31.95462","6.84473","14.66706","2.3834","0.21715","76.56237","-5.982102","-1.936086","0.448315","91.39031","37.811766","14.378221","3302.836166","106.7307","79.33273","26.61854","348.36399","347.56087","14.286154","5.593958","-9.10599","3.95547","-2.90185","50.0","5.00893","9.27462","-122.11145","-0.85773","-13.64436","25.75849","-26.24718","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","96882600-1445-11f1-8b2a-372dde908e8b","84.07573","107.55851",,"7.68041",,,,"1.71782","2.49178","-0.21613","1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:34:12.79","2026-02-27T19:34:12.7991808-06:00","2026-02-28T01:34:12.7991808Z","FlyBall","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","ee32af68-d143-4d2b-b55f-6ed14a90145c","53.95391","-122.94267","12.87925","5.02295","-0.01074","-13.12359","-3.20824","9.71492","-6.82218","179.620945","1.72284","102.47943","-19.9158","4.32574","-0.4686","-0.03409","0.01833","-0.00217","9.0E-5","2.48937","82.21457","-17.98055","1.10335","-0.20889","0.01928","0.00491","-0.0013","8.0E-5","-0.21488","26.27107","-5.20153","1.15084","-0.12753","-0.00842","0.00486","-5.9E-4","2.0E-5",,,,,,,,,,,,,,,,,,,,,,,"High","High","High","High","High","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"158","2026-02-27","19:34:55.80","3","1","Shupe, Garrett","10013518","Right","NOR_BIS","Benson, Cameron","813272","Left","MIZ_TIG","Undefined","5","Bottom","1","0","0","ChangeUp","Changeup","BallCalled","Undefined","Undefined","Undefined","0","0","","85.3065","-0.403882","-5.710218","1620.195993","253.380155","2:30","4.93841","3.17453","6.72109","-31.63214","5.97303","15.82989","1.93139","-0.74289","77.72246","-6.354248","-2.843249","0.441362",,,,,,,,,,,,"-9.97142","3.66595","-2.80115","50.0","4.89953","11.76771","-123.48701","-1.77586","-15.33284","25.54921","-26.53701","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","b00c96b0-1445-11f1-8b2a-372dde908e8b","85.40025",,,"7.58405",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:34:55.80","2026-02-27T19:34:55.8093824-06:00","2026-02-28T01:34:55.8093824Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","9ed4bf10-49ad-442b-bad7-5acae2fe184d","53.77808","-124.26622","12.7746","4.94136","-0.96652","-13.2685","-3.16718","12.23534","-7.66642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
"159","2026-02-27","19:35:16.10","3","2","Shupe, Garrett","10013518","Right","NOR_BIS","Benson, Cameron","813272","Left","MIZ_TIG","Undefined","5","Bottom","1","1","0","ChangeUp","Changeup","StrikeCalled","Undefined","Undefined","Undefined","0","0","","83.70045","-0.39517","-5.036954","1834.187125","247.593163","2:15","5.04495","3.25139","6.44878","-31.70624","7.82556","15.6969","2.03829","-0.08029","76.0284","-6.350323","-2.203562","0.452527","96.21545","15.494324","50.555793","4338.821314","64.81538","19.75408","88.87613","223.41499","158.63669","59.963761","2.122596","-9.79186","4.58536","-2.90062","50.0","5.00263","10.1175","-121.22304","-1.7526","-14.44733","25.56753","-25.4086","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","bc32c9a0-1445-11f1-8b2a-372dde908e8b","83.29323","19.88868",,"7.67205",,,,"3.30716","2.26488","0.00924","1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:35:16.10","2026-02-27T19:35:16.1067520-06:00","2026-02-28T01:35:16.1067520Z","LineDrive","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","66f6cec0-e797-49da-94eb-963f0abbc24f","54.05143","-122.07455","12.78377","5.04691","-0.90638","-12.7043","-3.24559","10.59866","-7.22366",,"3.30718","86.39525","-22.93531","4.34007","-0.68852","-0.16505","0.18306","-0.06042","0.00738","2.26489","37.69764","-22.33992","2.68713","-0.45782","-0.00675","0.05647","-0.02036","0.00253","0.00924","105.01454","-5.71596","-0.74877","0.25222","0.01406","-0.06143","0.02359","-0.00309",,,,,,,,,,,,,,,,,,,,,,,"High","High","High","High","Medium","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.91792","20.95004","29.86299","2026","02","27"
"160","2026-02-27","19:35:40.23","3","3","Shupe, Garrett","10013518","Right","NOR_BIS","Benson, Cameron","813272","Left","MIZ_TIG","Undefined","5","Bottom","1","1","1","ChangeUp","Changeup","BallCalled","Undefined","Undefined","Undefined","0","0","","84.22135","-0.081004","-3.933357","1865.422248","254.06133","2:30","4.97951","3.29057","6.43758","-32.70549","6.10839","16.9195","2.17944","1.08023","76.78594","-6.210418","-0.871976","0.448399",,,,,,,,,,,,"-9.94363","3.61418","-3.01768","50.0","4.95924","7.76462","-122.18375","-1.14662","-14.96688","25.04525","-26.73409","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260227-TaylorStadium-1","ca84b630-1445-11f1-8b2a-372dde908e8b","84.06002",,,"7.43542",,,,,,,"1b302c73-8876-476a-9477-a2ba524ff780","2026-02-28","01:35:40.23","2026-02-27T19:35:40.2332160-06:00","2026-02-28T01:35:40.2332160Z","","v3","4806","471388","9d219402a542450a8ca9d307da9f26b3","Freiter, Bennett","1000119083","Right","NOR_BIS","d3c4a3e9-ebea-4317-b894-3058a28d50a9","54.0617","-123.0135","12.52263","4.98256","-0.26092","-13.36704","-3.28314","8.26047","-7.48344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","27"
